City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,guantanamo,20.1444,-75.2092,24.76,92,9,1.83,CU,1734405000
83,afaahiti,-17.75,-149.2833,26.09,78,74,4.23,PF,1734405001
84,buryn',51.1991,33.8352,1.78,81,74,8.2,UA,1734405002
85,concepcion,-36.827,-73.0498,14.89,82,20,5.14,CL,1734404887
86,stanley,54.868,-1.6985,9.01,82,75,8.23,GB,1734405005
87,gadzhiyevo,69.2551,33.3362,-14.48,90,100,3.63,RU,1734405006
88,bima,-8.4667,118.7167,30.49,68,100,1.93,ID,1734405007
89,salinas,36.6777,-121.6555,13.61,98,100,1.54,US,1734404444
90,alausi,-2.2,-78.8333,10.48,90,88,2.52,EC,1734405009
91,lubuklinggau,-3.3,102.8667,29.87,56,100,1.48,ID,1734405010
92,ekibastuz,51.6667,75.3667,-13.09,78,99,4.54,KZ,1734405012
93,acapulco de juarez,16.8634,-99.8901,27.9,78,20,2.06,MX,1734404756
94,bethel,41.3712,-73.414,10.0,88,100,0.98,US,1734405014
95,leava,-14.3,-178.1667,27.84,76,87,2.79,WF,1734405015
96,puerto ayora,-0.7393,-90.3518,22.7,84,58,2.73,EC,1734405016
97,digoin,46.4812,3.9795,3.05,100,100,1.54,FR,1734405017
98,saipan,15.1355,145.701,31.39,79,40,10.29,MP,1734405018
99,kailua-kona,19.6406,-155.9956,27.77,51,0,2.57,US,1734404752
100,tulun,54.5611,100.5792,-8.27,93,100,1.96,RU,1734405021
101,remire-montjoly,4.9167,-52.2667,26.02,94,75,2.06,GF,1734405022
102,cabinda,-5.55,12.2,25.83,91,100,1.41,AO,1734405023
103,nezhinka,51.7676,55.3694,-2.91,93,100,5.0,RU,1734405024
104,dudinka,69.4058,86.1778,-19.17,95,100,10.1,RU,1734405025
105,severnoye,56.3491,78.3619,-13.44,94,98,5.99,RU,1734405026
106,santo antonio,-6.3106,-35.4789,24.24,89,47,3.34,BR,1734405028
107,el abiodh sidi cheikh,32.893,0.5484,4.39,65,0,0.47,DZ,1734405029
108,minas de marcona,-15.2119,-75.1103,15.77,84,100,4.39,PE,1734405030
109,al hasakah,36.5024,40.7477,6.12,73,100,3.76,SY,1734405031
110,nouadhibou,20.931,-17.0347,21.99,33,100,8.23,MR,1734405032
111,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,47,75,4.0,RU,1734405034
112,pisco,-13.7,-76.2167,19.03,82,0,4.12,PE,1734404894
113,kone,-21.0595,164.8658,32.52,52,89,3.43,NC,1734405036
114,brookings,44.3114,-96.7984,-3.0,82,100,6.17,US,1734404776
115,moniquira,5.8764,-73.5728,14.66,98,87,1.65,CO,1734405038
